status,visa_type,country,continent
Certified,J-1,ARMENIA,Asia
Denied,B-2,POLAND,Europe
Certified,H-1B,INDIA,Asia
Certified,B-2,SOUTH KOREA,Asia
Certified,L-1,CANADA,North America
Denied,EWI,ECUADOR,South America
Certified-Expired,H-1B,MEXICO,North America
Denied,E-2,CANADA,North America
Certified,H-1B,CANADA,North America
Denied,E-2,PAKISTAN,Asia
Withdrawn,H-1B,INDIA,Asia
Certified,H-1B,SINGAPORE,Asia
Certified,H-1B,RUSSIA,Europe
Certified,H-1B,INDIA,Asia
Certified,,MEXICO,North America
Certified-Expired,EWI,ECUADOR,South America
Certified,H-1B,INDIA,Asia
Certified,,CANADA,North America
Denied,EWI,MEXICO,North America
Certified,,POLAND,Europe
Certified,H-1B,VENEZUELA,South America
Certified-Expired,E-1,JAPAN,Asia
Denied,B-2,SOUTH AFRICA,Africa
Denied,EWI,MEXICO,North America
Denied,H-1B,CHINA,Asia
Withdrawn,H-1B,RUSSIA,Europe
Certified-Expired,,MEXICO,North America
Denied,EWI,MEXICO,North America
Certified,H-1B,INDIA,Asia
Denied,,INDIA,Asia
Denied,EWI,ECUADOR,South America
Denied,EWI,MEXICO,North America
Certified,H-1B,PHILIPPINES,Asia
Certified,H-1B,TURKEY,Europe
Denied,,VIETNAM,Asia
Denied,EWI,ECUADOR,South America
Withdrawn,EWI,EL SALVADOR,North America
Certified-Expired,H-1B,INDIA,Asia
Certified,EWI,ECUADOR,South America
Denied,EWI,MEXICO,North America
Certified,,ECUADOR,South America
Denied,EWI,ECUADOR,South America
Denied,,IRAN,Asia
Certified,H-1B,PHILIPPINES,Asia
Denied,,PAKISTAN,Asia
Denied,EWI,ECUADOR,South America
Denied,H-1B,PHILIPPINES,Asia
Denied,H-2B,MEXICO,North America
Certified,H-1B,CHINA,Asia
Certified,H-1B,INDIA,Asia
Denied,H-1B,CAMEROON,Africa
Denied,EWI,MEXICO,North America
Denied,TPS,EL SALVADOR,North America
Certified-Expired,H-1B,INDIA,Asia
Denied,F-1,SOUTH KOREA,Asia
Denied,EWI,ECUADOR,South America
Denied,,JAMAICA,North America
Certified-Expired,H-1B,SOUTH KOREA,Asia
Denied,,MEXICO,North America
Certified-Expired,L-1,JAPAN,Asia
Denied,H-1B,PHILIPPINES,Asia
Certified,L-1,INDIA,Asia
Certified-Expired,H-1B,MEXICO,North America
Certified,H-1B,INDIA,Asia
Certified,B-1,EL SALVADOR,North America
Denied,H-1B,CANADA,North America
Certified,H-1B,INDIA,Asia
Certified,H-1B,INDIA,Asia
Certified,H-1B,INDONESIA,Asia
Denied,EWI,MEXICO,North America
Certified,L-1,SWEDEN,Europe
Denied,H-1B,SWEDEN,Europe
Denied,,PORTUGAL,Europe
Certified,,INDIA,Asia
Denied,B-1,COLOMBIA,South America
Withdrawn,,BRAZIL,South America
Denied,H-1B,INDIA,Asia
Denied,,MEXICO,North America
Certified,EWI,MEXICO,North America
Denied,,PHILIPPINES,Asia
Certified-Expired,H-1B,INDIA,Asia
Certified-Expired,,PAKISTAN,Asia
Denied,H-1B,INDIA,Asia
Certified,F-1,CHINA,Asia
Denied,L-1,CANADA,North America
Denied,B-1,INDIA,Asia
Certified-Expired,H-1B,MEXICO,North America
Certified-Expired,H-1B,INDIA,Asia
Denied,C-1,TURKEY,Europe
Denied,EWI,MEXICO,North America
Denied,H-1B,INDIA,Asia
Certified-Expired,H-1B,CHINA,Asia
Denied,,TRINIDAD AND TOBAGO,North America
Denied,EWI,GUATEMALA,North America
Denied,B-1,BANGLADESH,Asia
Denied,F-1,RUSSIA,Europe
Denied,,JAPAN,Asia
Denied,B-1,MONGOLIA,Asia
Certified,H-1B,INDIA,Asia
Withdrawn,H-1B,INDIA,Asia
Certified-Expired,EWI,EL SALVADOR,North America
Denied,Not in USA,SOUTH KOREA,Asia
Certified-Expired,,ECUADOR,South America
Denied,EWI,BANGLADESH,Asia
Certified,H-1B,MEXICO,North America
Certified,H-1B,SPAIN,Europe
Withdrawn,H-1B,MOROCCO,Africa
Denied,H-1B,PHILIPPINES,Asia
Denied,EWI,BRAZIL,South America
Certified-Expired,H-1B,MEXICO,North America
Denied,H-1B,INDIA,Asia
Denied,,MEXICO,North America
Denied,H-1B,INDIA,Asia
Denied,TN,CANADA,North America
Denied,F-1,SOUTH KOREA,Asia
Denied,B-2,PHILIPPINES,Asia
Withdrawn,H-1B,UNITED STATES OF AMERICA,North America
Certified,H-1B,NIGERIA,Africa
Certified,H-1B,INDIA,Asia
Certified,B-2,BOLIVIA,South America
Certified,H-1B,INDIA,Asia
Certified,H-1B,PHILIPPINES,Asia
Denied,,MEXICO,North America
Withdrawn,H-1B,AUSTRIA,Europe
Certified-Expired,,JAPAN,Asia
Denied,H-1B,INDIA,Asia
Denied,H-1B,INDIA,Asia
Denied,,MEXICO,North America
Denied,,MEXICO,North America
Certified,H-4,ISRAEL,Asia
Certified-Expired,,CANADA,North America
Denied,Not in USA,POLAND,Europe
Denied,,MEXICO,North America
Denied,E-2,ITALY,Europe
Denied,H-1B,CANADA,North America
Denied,F-1,POLAND,Europe
Denied,B-1,PHILIPPINES,Asia
Certified-Expired,J-1,INDIA,Asia
Denied,B-2,BRAZIL,South America
Denied,H-1B,CANADA,North America
Certified-Expired,H-1B,INDIA,Asia
Certified,H-1B,INDIA,Asia
Denied,,MEXICO,North America
Denied,H-1B,ARGENTINA,South America
Denied,H-1B,PHILIPPINES,Asia
Denied,H-1B,PHILIPPINES,Asia
Denied,H-1B,SOUTH KOREA,Asia
Withdrawn,F-1,CHINA,Asia
Denied,,MEXICO,North America
