country,date,continent,all_locations
ARMENIA,2/1/2012,Asia,Total
POLAND,12/21/2011,Europe,Total
INDIA,12/1/2011,Asia,Total
SOUTH KOREA,12/1/2011,Asia,Total
CANADA,1/26/2012,North America,Total
ECUADOR,1/26/2012,South America,Total
MEXICO,10/7/2011,North America,Total
CANADA,2/6/2012,North America,Total
CANADA,2/29/2012,North America,Total
PAKISTAN,3/30/2012,Asia,Total
INDIA,3/5/2012,Asia,Total
SINGAPORE,1/6/2012,Asia,Total
RUSSIA,1/26/2012,Europe,Total
INDIA,12/9/2011,Asia,Total
MEXICO,1/30/2012,North America,Total
ECUADOR,10/13/2011,South America,Total
INDIA,12/5/2011,Asia,Total
CANADA,3/26/2012,North America,Total
MEXICO,10/7/2011,North America,Total
POLAND,12/13/2011,Europe,Total
VENEZUELA,11/3/2011,South America,Total
JAPAN,10/6/2011,Asia,Total
SOUTH AFRICA,1/23/2012,Africa,Total
MEXICO,10/12/2011,North America,Total
CHINA,2/16/2012,Asia,Total
RUSSIA,10/14/2011,Europe,Total
MEXICO,10/21/2011,North America,Total
MEXICO,10/11/2011,North America,Total
INDIA,2/7/2012,Asia,Total
INDIA,11/15/2011,Asia,Total
ECUADOR,10/25/2011,South America,Total
MEXICO,11/3/2011,North America,Total
PHILIPPINES,12/29/2011,Asia,Total
TURKEY,2/16/2012,Europe,Total
VIETNAM,2/16/2012,Asia,Total
ECUADOR,2/16/2012,South America,Total
EL SALVADOR,3/28/2012,North America,Total
INDIA,10/13/2011,Asia,Total
ECUADOR,1/5/2012,South America,Total
MEXICO,1/30/2012,North America,Total
ECUADOR,11/16/2011,South America,Total
ECUADOR,2/16/2012,South America,Total
IRAN,11/17/2011,Asia,Total
PHILIPPINES,11/4/2011,Asia,Total
PAKISTAN,2/16/2012,Asia,Total
ECUADOR,10/6/2011,South America,Total
PHILIPPINES,10/27/2011,Asia,Total
MEXICO,2/16/2012,North America,Total
CHINA,12/22/2011,Asia,Total
INDIA,12/19/2011,Asia,Total
CAMEROON,11/17/2011,Africa,Total
MEXICO,2/14/2012,North America,Total
EL SALVADOR,2/16/2012,North America,Total
INDIA,10/25/2011,Asia,Total
SOUTH KOREA,10/25/2011,Asia,Total
ECUADOR,10/13/2011,South America,Total
JAMAICA,10/14/2011,North America,Total
SOUTH KOREA,10/4/2011,Asia,Total
MEXICO,11/1/2011,North America,Total
JAPAN,10/6/2011,Asia,Total
PHILIPPINES,3/13/2012,Asia,Total
INDIA,11/17/2011,Asia,Total
MEXICO,10/25/2011,North America,Total
INDIA,12/16/2011,Asia,Total
EL SALVADOR,1/30/2012,North America,Total
CANADA,12/1/2011,North America,Total
INDIA,12/29/2011,Asia,Total
INDIA,1/9/2012,Asia,Total
INDONESIA,12/7/2011,Asia,Total
MEXICO,3/23/2012,North America,Total
